contact_force_N|timestamp|Step_number|phase
3042.29443359375|13.816666666666933|5|ACT_1
163.3311309814453|13.8333333333336|6|ACT_1
287.264892578125|13.850000000000268|7|ACT_1
205.23794555664062|13.866666666666935|8|ACT_1
263.6078796386719|13.883333333333603|9|ACT_1
182.61154174804688|13.90000000000027|10|ACT_1
250.88784790039062|13.916666666666938|11|ACT_1
244.432861328125|13.933333333333605|12|ACT_1
196.41864013671875|13.950000000000273|13|ACT_1
234.98793029785156|13.96666666666694|14|ACT_1
275.2904357910156|13.983333333333608|15|ACT_1
185.7490692138672|14.000000000000275|16|ACT_1
267.87017822265625|14.016666666666943|17|ACT_1
174.6036376953125|14.03333333333361|18|ACT_1
242.95864868164062|14.050000000000278|19|ACT_1
278.02392578125|14.066666666666945|20|ACT_1
177.68756103515625|14.083333333333613|21|ACT_1
255.83963012695312|14.10000000000028|22|ACT_1
212.92520141601562|14.116666666666948|23|ACT_1
279.7476806640625|41.316666666665604|7|ACT_2
139.10015869140625|41.33333333333227|8|ACT_2
13.211918830871582|55.04999999999816|0|INITIAL
11.920905113220215|55.06666666666482|1|INITIAL
187.74838256835938|68.84999999999738|6|ACT_3
183.73365783691406|68.86666666666405|7|ACT_3
244.08154296875|68.88333333333071|8|ACT_3
142.85182189941406|68.89999999999738|9|ACT_3
116.22400665283203|82.46666666666327|0|INITIAL
6.879197597503662|82.48333333332994|1|INITIAL
4.511744022369385|82.4999999999966|2|INITIAL
3.7065916061401367|82.51666666666327|3|INITIAL
